"","N_raw","N_trimmed","Percent_trimmed","N_nonhuman","Percent_nonhuman","N_AMR","Percent_AMR","N_VIR","Percent_VIR","N_PHAG","Percent_PHAG","N_kaiju","N_kaijuClassified","Percent_kaijuClassified","N_kaijublast","N_kaijublastClassified","Percent_kaijublastClassified"
"TT0038",3528842,3398100,96.3,150429,4.43,275,0.1828,27651,18.3814,866,0.5757,100000,93008,93.008,1e+05,12340,12.34
"TT0040",3835041,3795469,98.97,41631,1.1,0,0,19540,46.9362,72,0.1729,100000,83177,83.177,1e+05,113,0.113
"TT0042",3618202,3507023,96.93,52967,1.51,5,0.0094,18701,35.3069,254,0.4795,100000,85714,85.714,1e+05,645,0.645
"TT0043",2819808,2731010,96.85,52622,1.93,29,0.0551,15047,28.5945,143,0.2717,100000,88161,88.161,1e+05,2173,2.173
"TT0045",3500867,3365017,96.12,175233,5.21,398,0.2271,39418,22.4946,737,0.4206,100000,94168,94.168,1e+05,7247,7.247
"TT0048",2964670,2872346,96.89,42674,1.49,1,0.0023,12419,29.102,149,0.3492,100000,83764,83.764,1e+05,1995,1.995
"TT0049",3900750,3767148,96.57,50586,1.34,4,0.0079,15126,29.9016,95,0.1878,100000,83992,83.992,1e+05,1916,1.916
"TT0051",3138781,3039126,96.83,37528,1.23,0,0,18478,49.2379,45,0.1199,100000,76517,76.517,1e+05,88,0.088
"TT0053",3452771,3413599,98.87,180222,5.28,49,0.0272,33297,18.4755,79,0.0438,100000,93716,93.716,1e+05,35583,35.583
"TT0059",3031684,2994647,98.78,71242,2.38,55,0.0772,20882,29.3114,225,0.3158,100000,91766,91.766,1e+05,4332,4.332
"TT0060",3070375,3036473,98.9,391599,12.9,2244,0.573,27868,7.1165,5595,1.4288,100000,98042,98.042,1e+05,14143,14.143
"TT0061",2888126,2843154,98.44,1992148,70.07,1000,0.0502,406849,20.4226,27879,1.3994,100000,95028,95.028,1e+05,12139,12.139
"TT0062",3639543,3601826,98.96,85727,2.38,86,0.1003,26200,30.5621,501,0.5844,100000,91059,91.059,1e+05,8164,8.164
"TT0063",4157683,4110923,98.88,511417,12.44,220,0.043,131491,25.7111,8271,1.6173,100000,93438,93.438,1e+05,13298,13.298
"TT0065",3669506,3626116,98.82,117877,3.25,271,0.2299,28409,24.1005,180,0.1527,100000,94052,94.052,1e+05,7362,7.362
"TT0067",3581857,3539547,98.82,56066,1.58,5,0.0089,18441,32.8916,182,0.3246,100000,87973,87.973,1e+05,1644,1.644
"TT0069",3838089,3788017,98.7,499114,13.18,94,0.0188,102136,20.4635,4636,0.9288,100000,90958,90.958,1e+05,12167,12.167
"TTS1106",3580393,3530299,98.6,229758,6.51,66,0.0287,78224,34.0463,7116,3.0972,100000,89328,89.328,1e+05,11331,11.331
"TTS1108",4337851,4308127,99.31,158209,3.67,82,0.0518,52443,33.1479,1401,0.8855,100000,88309,88.309,1e+05,11764,11.764
"TTS1111",2949499,2920430,99.01,98194,3.36,77,0.0784,34388,35.0205,1418,1.4441,100000,89125,89.125,1e+05,9219,9.219
"TTS1115",3511028,3481635,99.16,54087,1.55,6,0.0111,29933,55.3423,287,0.5306,100000,86213,86.213,1e+05,1810,1.81
"TTS1116",3637679,3590135,98.69,50954,1.42,0,0,22619,44.391,44,0.0864,100000,88260,88.26,1e+05,198,0.198
"TTS1118",3534333,3507489,99.24,62126,1.77,21,0.0338,23407,37.6767,305,0.4909,100000,86318,86.318,1e+05,4990,4.99
"TTS1120",3142729,3126612,99.49,135432,4.33,34,0.0251,36126,26.6746,2241,1.6547,100000,87869,87.869,1e+05,11175,11.175
