SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
DU0034,#N/A,PRJNA590225,SRR11661744,SAMN14790049,Cross_sectional,,,,,
DU0038,#N/A,PRJNA590225,SRR11661743,SAMN14790050,Cross_sectional,,,,,
DU0047,#N/A,PRJNA590225,SRR11661742,SAMN14790051,Cross_sectional,,,,,
DU0058,#N/A,PRJNA590225,SRR11661741,SAMN14790052,Cross_sectional,,,,,
DU0059,#N/A,PRJNA590225,SRR11661740,SAMN14790053,Cross_sectional,,,,,
DU0063,#N/A,PRJNA590225,SRR11661739,SAMN14790054,Cross_sectional,,,,,
DU0064,#N/A,PRJNA590225,SRR11661738,SAMN14790055,Cross_sectional,,,,,
DU0071,#N/A,PRJNA590225,SRR11661736,SAMN14790056,Cross_sectional,,,,,
DU0074,#N/A,PRJNA590225,SRR11661735,SAMN14790057,Cross_sectional,,,,,
DU0076,#N/A,PRJNA590225,SRR11661734,SAMN14790058,Cross_sectional,,,,,
DU0077,#N/A,PRJNA590225,SRR11661733,SAMN14790059,Cross_sectional,,,,,
DU0083,#N/A,PRJNA590225,SRR11661732,SAMN14790060,Cross_sectional,,,,,
DU0087,#N/A,PRJNA590225,SRR11661731,SAMN14790061,Cross_sectional,,,,,
DU0089,#N/A,PRJNA590225,SRR12512299,SAMN15897786,Cross_sectional,,,,,
DU0099,#N/A,PRJNA590225,SRR11661730,SAMN14790062,Cross_sectional,,,,,
IT103,#N/A,PRJNA590225,SRR12512288,SAMN15897787,Cross_sectional,,,,,
IT11,#N/A,PRJNA982297,SRR24889365,SAMN35699673,Cross_sectional,,,,,
IT148,#N/A,PRJNA590225,SRR12512277,SAMN15897788,Cross_sectional,,,,,
IT173,#N/A,PRJNA590225,SRR12512331,SAMN15897789,Cross_sectional,,,,,
IT197,#N/A,PRJNA590225,SRR12512320,SAMN15897790,Cross_sectional,,,,,
IT202,#N/A,PRJNA590225,SRR12512307,SAMN15897791,Cross_sectional,,,,,
IT222,#N/A,PRJNA590225,SRR12512361,SAMN15897792,Cross_sectional,,,,,
IT226,#N/A,PRJNA590225,SRR12512350,SAMN15897793,Cross_sectional,,,,,
IT230,#N/A,PRJNA590225,SRR12512340,SAMN15897794,Cross_sectional,,,,,
IT236,#N/A,PRJNA590225,SRR12512339,SAMN15897795,Cross_sectional,,,,,
IT254,#N/A,PRJNA590225,SRR12512402,SAMN15897796,Cross_sectional,,,,,
IT257,#N/A,PRJNA590225,SRR12512401,SAMN15897797,Cross_sectional,,,,,
IT261,#N/A,PRJNA590225,SRR12512400,SAMN15897798,Cross_sectional,,,,,
IT271,#N/A,PRJNA590225,SRR12512399,SAMN15897799,Cross_sectional,,,,,
IT309,#N/A,PRJNA590225,SRR12512398,SAMN15897800,Cross_sectional,,,,,
IT311,#N/A,PRJNA590225,SRR12512396,SAMN15897801,Cross_sectional,,,,,
IT315,#N/A,PRJNA590225,SRR12512395,SAMN15897802,Cross_sectional,,,,,
IT323,#N/A,PRJNA590225,SRR12512394,SAMN15897803,Cross_sectional,,,,,
IT337,#N/A,PRJNA982297,SRR24889364,SAMN35699674,Cross_sectional,,,,,
IT338,#N/A,PRJNA590225,SRR12512393,SAMN15897804,Cross_sectional,,,,,
IT339,#N/A,PRJNA590225,SRR12512392,SAMN15897805,Cross_sectional,,,,,
IT361,#N/A,PRJNA590225,SRR12512391,SAMN15897806,Cross_sectional,,,,,
IT381,#N/A,PRJNA590225,SRR12512390,SAMN15897807,Cross_sectional,,,,,
IT52,#N/A,PRJNA590225,SRR12512389,SAMN15897808,Cross_sectional,,,,,
IT85,#N/A,PRJNA982297,SRR24889363,SAMN35699675,Cross_sectional,,,,,
KL0002,#N/A,PRJNA590225,SRR11661729,SAMN14790063,Cross_sectional,,,,,
KL0003,#N/A,PRJNA590225,SRR11661728,SAMN14790064,Cross_sectional,,,,,
KL0004,#N/A,PRJNA590225,SRR12512388,SAMN15897809,Cross_sectional,,,,,
KL0006,#N/A,PRJNA590225,SRR12512387,SAMN15897810,Cross_sectional,,,,,
KL0007,#N/A,PRJNA590225,SRR12512385,SAMN15897811,Cross_sectional,,,,,
KL0008,#N/A,PRJNA590225,SRR12512384,SAMN15897812,Cross_sectional,,,,,
KL0009,#N/A,PRJNA590225,SRR12512383,SAMN15897813,Cross_sectional,,,,,
KL0010,#N/A,PRJNA590225,SRR11661727,SAMN14790065,Cross_sectional,,,,,
KL0011,#N/A,PRJNA590225,SRR12512382,SAMN15897814,Cross_sectional,,,,,
KL0012,#N/A,PRJNA590225,SRR12512381,SAMN15897815,Cross_sectional,,,,,
KL0013,#N/A,PRJNA590225,SRR12512380,SAMN15897816,Cross_sectional,,,,,
KL0014,#N/A,PRJNA590225,SRR12512379,SAMN15897817,Cross_sectional,,,,,
KL0016,#N/A,PRJNA590225,SRR12512378,SAMN15897818,Cross_sectional,,,,,
KL0017,#N/A,PRJNA982297,SRR24889361,SAMN35699676,Cross_sectional,,,,,
KL0018,#N/A,PRJNA590225,SRR12512377,SAMN15897819,Cross_sectional,,,,,
KL0019,#N/A,PRJNA590225,SRR12512376,SAMN15897820,Cross_sectional,,,,,
KL0020,#N/A,PRJNA590225,SRR12512374,SAMN15897821,Cross_sectional,,,,,
KL0021,#N/A,PRJNA590225,SRR12512373,SAMN15897822,Cross_sectional,,,,,
KL0022,#N/A,PRJNA590225,SRR12512372,SAMN15897823,Cross_sectional,,,,,
KL0023,#N/A,PRJNA590225,SRR12512371,SAMN15897824,Cross_sectional,,,,,
KL0024,#N/A,PRJNA590225,SRR12512305,SAMN15897825,Cross_sectional,,,,,
KL0025,#N/A,PRJNA982297,SRR24889360,SAMN35699677,Cross_sectional,,,,,
KL0026,#N/A,PRJNA590225,SRR12512304,SAMN15897826,Cross_sectional,,,,,
KL0027,#N/A,PRJNA982297,SRR24889359,SAMN35699678,Cross_sectional,,,,,
KL0028,#N/A,PRJNA982297,SRR24889326,SAMN35699679,Cross_sectional,,,,,
KL0029,#N/A,PRJNA982297,SRR24889325,SAMN35699680,Cross_sectional,,,,,
KL0031,#N/A,PRJNA590225,SRR12512303,SAMN15897827,Cross_sectional,,,,,
KL0035,#N/A,PRJNA590225,SRR12512302,SAMN15897828,Cross_sectional,,,,,
KL0036,#N/A,PRJNA982297,SRR24889324,SAMN35699681,Cross_sectional,,,,,
KL0037,#N/A,PRJNA590225,SRR12512301,SAMN15897829,Cross_sectional,,,,,
KL0039,#N/A,PRJNA590225,SRR12512300,SAMN15897830,Cross_sectional,,,,,
KL0040,#N/A,PRJNA982297,SRR24889323,SAMN35699682,Cross_sectional,,,,,
KL0041,#N/A,PRJNA982297,SRR24889322,SAMN35699683,Cross_sectional,,,,,
KL0042,#N/A,PRJNA982297,SRR24889321,SAMN35699684,Cross_sectional,,,,,
KL0043,#N/A,PRJNA982297,SRR24889320,SAMN35699685,Cross_sectional,,,,,
SBE0003,#N/A,PRJNA982297,SRR24889318,SAMN35699686,Cross_sectional,,,,,
SBE0004,#N/A,PRJNA982297,SRR24889317,SAMN35699687,Cross_sectional,,,,,
SBE0006,#N/A,PRJNA982297,SRR24889316,SAMN35699688,Cross_sectional,,,,,
SBE0007,#N/A,PRJNA982297,SRR24889315,SAMN35699689,Cross_sectional,,,,,
SBE0008,#N/A,PRJNA982297,SRR24889314,SAMN35699690,Cross_sectional,,,,,
SBE0009,#N/A,PRJNA982297,SRR24889313,SAMN35699691,Cross_sectional,,,,,
SBE0010,#N/A,PRJNA982297,SRR24889312,SAMN35699692,Cross_sectional,,,,,
SBE0011,#N/A,PRJNA982297,SRR24889311,SAMN35699693,Cross_sectional,,,,,
SBE0012,#N/A,PRJNA982297,SRR24889310,SAMN35699694,Cross_sectional,,,,,
SBE0015,#N/A,PRJNA982297,SRR24889309,SAMN35699695,Cross_sectional,,,,,
SBE0018,#N/A,PRJNA982297,SRR24889307,SAMN35699696,Cross_sectional,,,,,
SG0001,#N/A,PRJNA590225,SRR12512298,SAMN15897831,Cross_sectional,,,,,
SG0002,#N/A,PRJNA590225,SRR12512297,SAMN15897832,Cross_sectional,,,,,
SG0003,#N/A,PRJNA982297,SRR24889306,SAMN35699697,Cross_sectional,,,,,
SG0006,#N/A,PRJNA590225,SRR12512296,SAMN15897833,Cross_sectional,,,,,
SG0012,#N/A,PRJNA590225,SRR11661725,SAMN14790066,Cross_sectional,,,,,
SG0024,#N/A,PRJNA590225,SRR12512295,SAMN15897834,Cross_sectional,,,,,
SG0025,#N/A,PRJNA590225,SRR12512294,SAMN15897835,Cross_sectional,,,,,
SG0028,#N/A,PRJNA590225,SRR12512293,SAMN15897836,Cross_sectional,,,,,
SG0031,#N/A,PRJNA590225,SRR12512292,SAMN15897837,Cross_sectional,,,,,
TBE0001,#N/A,PRJNA982297,SRR24889305,SAMN35699698,Cross_sectional,,,,,
TBE0002,#N/A,PRJNA982297,SRR24889304,SAMN35699699,Cross_sectional,,,,,
TBE0003,#N/A,PRJNA982297,SRR24889303,SAMN35699700,Cross_sectional,,,,,
TBE0004,#N/A,PRJNA982297,SRR24889302,SAMN35699701,Cross_sectional,,,,,
TBE0005,#N/A,PRJNA982297,SRR24889301,SAMN35699702,Cross_sectional,,,,,
TBE0006,#N/A,PRJNA982297,SRR24889300,SAMN35699703,Cross_sectional,,,,,
TBE0007,#N/A,PRJNA982297,SRR24889299,SAMN35699704,Cross_sectional,,,,,
TBE0008,#N/A,PRJNA982297,SRR24889298,SAMN35699705,Cross_sectional,,,,,
TBE0009,#N/A,PRJNA982297,SRR24889423,SAMN35699706,Cross_sectional,,,,,
TBE0010,#N/A,PRJNA982297,SRR24889422,SAMN35699707,Cross_sectional,,,,,
TBE0011,#N/A,PRJNA982297,SRR24889421,SAMN35699708,Cross_sectional,,,,,
TBE0012,#N/A,PRJNA982297,SRR24889420,SAMN35699709,Cross_sectional,,,,,
TBE0013,#N/A,PRJNA982297,SRR24889419,SAMN35699710,Cross_sectional,,,,,
TBE0014,#N/A,PRJNA982297,SRR24889418,SAMN35699711,Cross_sectional,,,,,
TBE0015,#N/A,PRJNA982297,SRR24889417,SAMN35699712,Cross_sectional,,,,,
TBE0016,#N/A,PRJNA982297,SRR24889416,SAMN35699713,Cross_sectional,,,,,
TBS002,#N/A,PRJNA590225,SRR12512291,SAMN15897838,Cross_sectional,,,,,
TBS006,#N/A,PRJNA590225,SRR12512290,SAMN15897839,Cross_sectional,,,,,
TBS011,#N/A,PRJNA590225,SRR12512289,SAMN15897840,Cross_sectional,,,,,
TBS035,#N/A,PRJNA590225,SRR12512287,SAMN15897841,Cross_sectional,,,,,
TBS150,#N/A,PRJNA982297,SRR24889415,SAMN35699714,Cross_sectional,,,,,
TBS153,#N/A,PRJNA982297,SRR24889414,SAMN35699715,Cross_sectional,,,,,
TBS160,#N/A,PRJNA590225,SRR12512286,SAMN15897842,Cross_sectional,,,,,
TBS165,#N/A,PRJNA590225,SRR12512285,SAMN15897843,Cross_sectional,,,,,
TBS277,#N/A,PRJNA590225,SRR12512284,SAMN15897844,Cross_sectional,,,,,
TBS349,#N/A,PRJNA590225,SRR12512283,SAMN15897845,Cross_sectional,,,,,
TBS365,#N/A,PRJNA590225,SRR12512282,SAMN15897846,Cross_sectional,,,,,
TBS385,#N/A,PRJNA982297,SRR24889412,SAMN35699716,Cross_sectional,,,,,
TBS387,#N/A,PRJNA982297,SRR24889411,SAMN35699717,Cross_sectional,,,,,
TBS396,#N/A,PRJNA590225,SRR12512281,SAMN15897847,Cross_sectional,,,,,
TBS425,#N/A,PRJNA590225,SRR12512280,SAMN15897848,Cross_sectional,,,,,
TBS435,#N/A,PRJNA590225,SRR12512279,SAMN15897849,Cross_sectional,,,,,
TBS442,#N/A,PRJNA590225,SRR12512278,SAMN15897850,Cross_sectional,,,,,
TBS461,#N/A,PRJNA590225,SRR12512276,SAMN15897851,Cross_sectional,,,,,
TBS466,#N/A,PRJNA590225,SRR12512275,SAMN15897852,Cross_sectional,,,,,
TBS467,#N/A,PRJNA590225,SRR12512274,SAMN15897853,Cross_sectional,,,,,
TBS468,#N/A,PRJNA590225,SRR12512338,SAMN15897854,Cross_sectional,,,,,
TBS469,#N/A,PRJNA590225,SRR12512337,SAMN15897855,Cross_sectional,,,,,
TBS479,#N/A,PRJNA982297,SRR24889410,SAMN35699718,Cross_sectional,,,,,
TBS480,#N/A,PRJNA590225,SRR12512336,SAMN15897856,Cross_sectional,,,,,
TBS488,#N/A,PRJNA982297,SRR24889409,SAMN35699719,Cross_sectional,,,,,
TBS516,#N/A,PRJNA590225,SRR12512335,SAMN15897857,Cross_sectional,,,,,
