Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k141_1538592.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1539205.concoct_part_0	Caudovirales	100	Siphoviridae	60
k141_154034.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1541316.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1541950.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1542453.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1544435.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1546019.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1548436.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_155035.concoct_part_0	Caudovirales	50	Myoviridae	50
k141_1556597.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_156279.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1563293.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1565172.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1565330.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1566146.concoct_part_0	Caudovirales	100	Myoviridae	50
k141_1567448.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_156784.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1568297.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1570846.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1570846.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_15712.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1576630.concoct_part_0	Caudovirales	100	Siphoviridae	71.4285714285714
k141_1577204.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1577786.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1577849.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1578369.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1579462.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1581613.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1584022.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1584418.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1584959.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1590264.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1592692.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1594565.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1598115.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_15992.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1605587.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1607409.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1607554.concoct_part_0	Caudovirales	100	Siphoviridae	50
k141_1609153.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1611890.concoct_part_0	Caudovirales	100	Myoviridae	50
k141_1612452.concoct_part_0	no_order_Phycodnaviridae	100	Phycodnaviridae	100
k141_1613253.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1613706.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1615367.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1620164.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1625816.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1633711.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1634013.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1634559.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_163686.concoct_part_1	Caudovirales	100	Myoviridae	100
k141_163838.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1641067.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1644331.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1646728.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1653918.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1653918.concoct_part_2	Caudovirales	100	Siphoviridae	83.3333333333333
k141_1657681.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1663635.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_167701.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1683975.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1685096.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1688492.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1692878.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_16929.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1694343.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1700302.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1701790.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1703556.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1705261.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1720275.concoct_part_0	Caudovirales	100	Myoviridae	100
