Sample_ID,Type,Pseudomonas aeruginosa,Haemophilus influenzae,Streptococcus mitis,Rothia mucilaginosa,Streptococcus parasanguinis,Streptococcus pneumoniae,Klebsiella pneumoniae,Moraxella catarrhalis,Gemella sanguinis,Streptococcus salivarius,Haemophilus parainfluenzae,Streptococcus oralis,Prevotella melaninogenica,Gemella haemolysans,Streptococcus pseudopneumoniae,Serratia marcescens,Neisseria subflava,Streptococcus infantis,Acinetobacter baumannii,Mycobacterium tuberculosis,Leptotrichia wadei,Veillonella atypica,Staphylococcus aureus,Schaalia odontolytica,Streptococcus sanguinis,Veillonella dispar,Veillonella parvula,Sphingomonas melonis,Escherichia coli,Enterococcus faecalis,Sphingomonas sp. FARSPH,Cutibacterium acnes,Aspergillus fumigatus,Malassezia restricta,Plasmodium ovale,Pseudomonas sp. PGPPP1,Pyrrhoderma noxium,Aspergillus terreus,Lentinus tigrinus,Other,Aminoglycoside,MLS,Nucleoside antibiotic,Nitroimidazole antibiotic,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Streptogramin antibiotic,Triclosan,Fosfomycin,Fluoroquinolone,Fusidic acid,Sulfonamide antibiotic,Diaminopyrimidine,Rifamycin,Tetracycline,Peptide antibiotic,Glycopeptide,Bicyclomycin,Pleuromutilin,Acridine dye,Phenicol,Multidrug,Mupirocin
IT222,Sample,7675,2,31,13,2,21,296,0,13,18,1,19,2,0,1,5,2,0,471,15,0,6,5,0,0,7,1,0,9,13,0,9,0,0,0,0,0,0,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT226,Sample,20,3187,119,33,15,63,4,8,60,9,49,47,2,6,28,0,24,19,20,11,8,4,100,5,6,3,1,0,19,6,0,11,0,0,0,0,0,0,0,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT230,Sample,13,1090,51,4,3,12,7,0,4,9,5,4,0,13,5,1163,0,0,43,6,0,7,4,3,1,0,4,0,22,11,0,2,0,0,0,0,0,0,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT236,Sample,5859,274,37,24,146,34,238,413,83,7,17,21,72,0,10,1,56,8,404,12,36,10,10,4,13,15,8,0,16,9,0,13,0,0,0,0,0,0,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT254,Sample,11,56,241,397,101,423,12,17,302,25,394,50,47,26,260,18,314,30,35,99,131,48,8,19,15,31,20,0,38,18,0,18,0,3,0,0,0,0,0,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT257,Sample,3962,0,7,3,2,20,193,0,4,3,10,3,0,6,0,0,3,0,271,14,0,1,10,0,0,2,0,0,12,10,0,16,0,0,0,0,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT261,Sample,4544,11,3,1,3,8,176,0,2,0,0,0,3,1,2,2,0,0,272,4,5,0,10,0,0,0,0,0,7,7,0,5,0,0,0,0,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT271,Sample,526,8,258,132,106,127,19,0,294,28,50,84,54,76,52,0,27,41,27,51,49,18,15,35,11,75,38,0,11,6,0,5,0,0,0,0,0,0,0,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT309,Sample,90,374,1770,400,361,732,7,5,372,83,73,282,74,226,283,0,123,112,18,78,3,88,14,125,111,40,36,0,9,17,0,9,0,0,0,0,0,0,0,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT311,Sample,4,7,3314,785,307,1054,0,4,469,105,42,184,84,2847,299,0,9,15,5,203,0,60,24,72,57,183,1107,0,8,27,0,0,0,1,0,0,0,0,0,1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT315,Sample,5512,6,22,6,11,70,242,1,12,3,15,7,9,5,3,4,7,0,389,9,7,4,16,8,2,4,0,0,16,17,0,5,0,0,0,0,0,0,0,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT323,Sample,9,10,67,161,147,40,11,1,167,20,137,41,93,7,9,0,220,11,12,69,80,114,1224,36,34,70,43,0,13,18,0,10,0,0,0,0,0,0,0,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT337,Sample,3,0,10,18,11,15,0,4,8,3,3,5,13,21,0,0,7,2,15,17,2,1,8,1,0,3,0,0,8,10,0,7,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT338,Sample,9,4,73,16,3,36,6,0,19,0,4,5,0,33,3,0,0,0,6,6,0,2,8339,0,1,0,0,0,17,7,0,7,0,0,0,0,0,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT339,Sample,6,9,104,137,80,75,4,0,126,12,47,28,52,11,28,0,54,36,26,48,19,43,15,18,6,22,10,0,3,18,0,13,0,0,0,0,0,0,0,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT361,Sample,0,51,992,1586,288,498,9,0,566,269,534,196,314,571,208,0,822,297,8,304,163,163,9,171,14,78,23,0,13,8,0,4,0,0,0,0,0,0,0,958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT381,Sample,900,139,85,41,179,48,26,5,650,25,168,22,665,45,30,2,11,27,59,24,25,216,9,44,8,103,82,0,13,11,0,7,0,0,0,0,0,0,0,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT52,Sample,2090,7,8,4,0,19,86,1,0,0,1,0,0,1,0,55,0,1,142,12,4,0,10,0,0,0,0,0,6,11,0,6,0,0,0,0,0,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT85,Sample,27,14498,38,19,41,24,5,1,219,10,72,13,207,2,15,1,25,10,9,9,212,18,6,24,8,24,10,0,40,11,0,6,0,0,0,0,0,0,0,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0002,Sample,3,0,214,4870,56,283,4,0,7,29,1,176,215,3,238,0,4,364,9,1014,0,15,39,193,9,84,390,0,7,51,0,1,0,1,0,0,0,0,0,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL0003,Sample,0,10,4115,1055,842,1947,1,0,176,45,41,1682,100,340,538,0,2,459,7,163,32,75,24,839,821,171,242,0,8,17,0,0,0,0,0,0,0,0,0,2512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
